Freq.	V(vout)
1.08528346195816e-01	8.49951619496644e-02,3.71837309626797e-01
1.09283220540354e-01	8.61274911573827e-02,3.74175665599035e-01
1.10043345451182e-01	8.72741746995117e-02,3.76525394966254e-01
1.10808757448877e-01	8.84353749655961e-02,3.78886484696099e-01
1.11579493308035e-01	8.96112556571753e-02,3.81258920074864e-01
1.12355590059043e-01	9.08019817836526e-02,3.83642684673188e-01
1.13137084989850e-01	9.20077196576403e-02,3.86037760311345e-01
1.13924015647769e-01	9.32286368897672e-02,3.88444127024156e-01
1.14716419841269e-01	9.44649023829335e-02,3.90861763025500e-01
1.15514335641803e-01	9.57166863259990e-02,3.93290644672450e-01
1.16317801385628e-01	9.69841601868873e-02,3.95730746429013e-01
1.17126855675653e-01	9.82674967050943e-02,3.98182040829505e-01
1.17941537383291e-01	9.95668698835823e-02,4.00644498441547e-01
1.18761885650327e-01	1.00882454980045e-01,4.03118087828684e-01
1.19587939890798e-01	1.02214428497527e-01,4.05602775512654e-01
1.20419739792889e-01	1.03562968174386e-01,4.08098525935281e-01
1.21257325320835e-01	1.04928252973574e-01,4.10605301420031e-01
1.22100736716848e-01	1.06310463071226e-01,4.13123062133203e-01
1.22950014503044e-01	1.07709779844542e-01,4.15651766044799e-01
1.23805199483394e-01	1.09126385858934e-01,4.18191368889042e-01
1.24666332745683e-01	1.10560464854441e-01,4.20741824124581e-01
1.25533455663483e-01	1.12012201731374e-01,4.23303082894371e-01
1.26406609898144e-01	1.13481782535188e-01,4.25875093985244e-01
1.27285837400790e-01	1.14969394440555e-01,4.28457803787181e-01
1.28171180414343e-01	1.16475225734631e-01,4.31051156252296e-01
1.29062681475544e-01	1.17999465799483e-01,4.33655092853528e-01
1.29960383417001e-01	1.19542305093680e-01,4.36269552543078e-01
1.30864329369249e-01	1.21103935133012e-01,4.38894471710570e-01
1.31774562762815e-01	1.22684548470322e-01,4.41529784140978e-01
1.32691127330314e-01	1.24284338674449e-01,4.44175420972305e-01
1.33614067108543e-01	1.25903500308238e-01,4.46831310653049e-01
1.34543426440598e-01	1.27542228905623e-01,4.49497378899456e-01
1.35479249978008e-01	1.29200720947753e-01,4.52173548652572e-01
1.36421582682877e-01	1.30879173838140e-01,4.54859740035122e-01
1.37370469830044e-01	1.32577785876825e-01,4.57555870308218e-01
1.38325957009262e-01	1.34296756233523e-01,4.60261853827920e-01
1.39288090127384e-01	1.36036284919754e-01,4.62977602001657e-01
1.40256915410570e-01	1.37796572759920e-01,4.65703023244545e-01
1.41232479406509e-01	1.39577821361318e-01,4.68438022935588e-01
1.42214828986655e-01	1.41380233083083e-01,4.71182503373817e-01
1.43204011348480e-01	1.43204011004019e-01,4.73936363734355e-01
1.44200074017737e-01	1.45049358889323e-01,4.76699500024454e-01
1.45203064850750e-01	1.46916481156174e-01,4.79471805039494e-01
1.46213032036708e-01	1.48805582838165e-01,4.82253168319007e-01
1.47230024099984e-01	1.50716869548575e-01,4.85043476102699e-01
1.48254089902464e-01	1.52650547442451e-01,4.87842611286543e-01
1.49285278645893e-01	1.54606823177489e-01,4.90650453378925e-01
1.50323639874246e-01	1.56585903873700e-01,4.93466878456893e-01
1.51369223476100e-01	1.58587997071832e-01,4.96291759122521e-01
1.52422079687034e-01	1.60613310690555e-01,4.99124964459428e-01
1.53482259092047e-01	1.62662052982367e-01,5.01966359989459e-01
1.54549812627980e-01	1.64734432488229e-01,5.04815807629575e-01
1.55624791585970e-01	1.66830657990894e-01,5.07673165648967e-01
1.56707247613913e-01	1.68950938466933e-01,5.10538288626436e-01
1.57797232718942e-01	1.71095483037429e-01,5.13411027408051e-01
1.58894799269930e-01	1.73264500917343e-01,5.16291229065134e-01
1.60000000000005e-01	1.75458201363512e-01,5.19178736852598e-01
1.61112888009080e-01	1.77676793621300e-01,5.22073390167663e-01
1.62233516766409e-01	1.79920486869859e-01,5.24975024508993e-01
1.63361940113156e-01	1.82189490166008e-01,5.27883471436285e-01
1.64498212264976e-01	1.84484012386713e-01,5.30798558530347e-01
1.65642387814625e-01	1.86804262170158e-01,5.33720109353695e-01
1.66794521734584e-01	1.89150447855394e-01,5.36647943411710e-01
1.67954669379696e-01	1.91522777420563e-01,5.39581876114401e-01
1.69122886489826e-01	1.93921458419685e-01,5.42521718738790e-01
1.70299229192543e-01	1.96346697918007e-01,5.45467278391985e-01
1.71483754005812e-01	1.98798702425894e-01,5.48418357974967e-01
